Gene	Chr	Start	End
RP11-1398P2.1	4	1574062	1580253
RP11-572O17.1	4	1712821	1713622
RP11-503N18.1	4	2418974	2450360
RP11-529E10.7	4	3544555	3548796
RP3-368B9.2	4	3633029	3633975
RP3-513G18.2	4	3673593	3677855
AC141928.1	4	3758748	3763390
RP11-265O12.1	4	4321962	4334182
LINC01396	4	4844437	4850827
RP11-586D19.1	4	6200733	6238317
RP11-586D19.2	4	6202328	6206649
RP11-1406H17.1	4	6239441	6239937
RP11-539L10.3	4	6670725	6673830
AC093323.3	4	6673451	6676047
RP11-539L10.2	4	6687448	6690519
RP11-367J11.3	4	7094571	7103385
AC097381.1	4	7939001	7940296
RP11-774O3.2	4	8320176	8323863
RP11-774O3.1	4	8320279	8323965
RP11-774O3.3	4	8355090	8358338
RP11-689P11.2	4	8482270	8512610
RP11-1338A24.1	4	8745397	8746033
RP11-61G19.1	4	10685003	10697661
RP11-281P23.1	4	11469250	11478196
RP11-281P23.2	4	11625714	11813958
RP11-74M11.2	4	11740948	11769468
RP11-1J7.1	4	11914667	11919688
RP11-168E17.1	4	12223451	12251286
RP11-22A3.2	4	12859101	12864961
RP11-22A3.1	4	12947574	12948670
LINC01097	4	13526319	13534335
LINC01096	4	13546075	13547801
LINC01182	4	13655179	13977075
AC007126.1	4	13777377	13782157
LINC01085	4	14111968	14140052
RP11-669M16.2	4	14134936	14143592
RP11-669M16.1	4	14164455	14242813
AC006296.1	4	14383123	14409078
AC006296.2	4	14390439	14393992
LINC00504	4	14470465	14888169
CPEB2-AS1	4	14909961	15002045
RP11-141E13.1	4	16973275	17073903
RP11-576E20.1	4	17171757	17186059
RP11-608B3.1	4	18488062	18489508
RP11-3J1.1	4	19172335	19456994
RP11-608O21.1	4	19455436	19909692
RP11-94H6.1	4	19747179	19754591
KCNIP4-IT1	4	21843341	21853188
RP11-412P11.1	4	22997551	23056862
RP11-552M14.1	4	23105502	23123487
RP11-453O5.1	4	23234625	23285573
ERVH-1	4	23723262	23733579
RP11-496D24.2	4	24659856	24671568
RP11-660M5.1	4	25220403	25220913
RP11-302F12.3	4	25608711	25619468
RP13-494C23.1	4	25864881	25869550
RP11-415C15.1	4	27133996	27140051
AC024132.1	4	27207505	27218404
RP11-415C15.2	4	27217479	27282225
RP11-415C15.3	4	27262506	27267254
AC007106.1	4	27967723	27985063
RP11-180C1.1	4	28362279	28402864
RP11-123O22.1	4	28435449	28600275
RP11-292B1.2	4	28996524	29014594
RP11-769N22.1	4	29046591	29048765
RP11-472K22.1	4	29118308	29202770
RP11-472K22.2	4	29214398	29221162
RP11-617I14.1	4	31171144	31211675
RP11-315A17.1	4	31350284	31351725
RP11-665I14.1	4	31506666	31558821
RP11-734I18.1	4	31997397	32155406
RP11-240A16.1	4	32351038	32353220
RP11-802H3.2	4	33433510	33437877
RP11-79E3.3	4	33776347	34039893
RP11-79E3.2	4	33850591	33979936
RP11-548L20.1	4	34120894	34269747
RP11-725M22.1	4	34657606	34669432
RP11-722M1.1	4	36496537	36641900
RP11-103J17.1	4	37078577	37125424
RP11-600L4.1	4	38286994	38287491
RP11-83C7.1	4	38366914	38385759
LINC01258	4	38420662	38523180
LINC01259	4	38509767	38518056
RP11-213G21.2	4	38564003	38570671
RP11-617D20.2	4	38618265	38619437
RP11-360F5.3	4	39133913	39135608
RP11-539G18.3	4	39639140	39666644
RP11-395I6.2	4	40265472	40266457
AC195454.1	4	40316485	40330419
RP11-227F19.2	4	41750345	41757341
LINC00682	4	41876481	41882611
RP11-457P14.5	4	41883060	41894579
RP11-814H16.2	4	41988741	41989237
RP11-109E24.1	4	42706107	42707335
RP11-395F4.1	4	43133867	43234956
RP11-324J13.2	4	43457527	43492543
RP11-663P9.1	4	43980006	43981620
RP11-328N19.1	4	44016861	44022063
RP11-362I1.1	4	45009540	45051652
RP11-121C2.2	4	47840122	47844339
RP11-365H22.2	4	51918772	51919381
RP11-535C7.1	4	52044805	52046954
USP46-AS1	4	52659406	52661668
RP11-177B4.2	4	52680609	52692649
RP11-752D24.3	4	52789994	52815464
RP11-571I18.4	4	53997415	53997712
RP11-231C18.1	4	54332892	54355954
RP11-231C18.2	4	54376002	54376752
RP11-545H22.1	4	54440502	54446723
AC006552.1	4	54603211	54607131
RP11-273B19.2	4	54836161	54845402
RP11-273B19.1	4	54845568	54859241
RP11-463H12.2	4	54943630	54956818
RP11-177J6.1	4	55387949	55388271
RP11-345F18.1	4	55820003	55837382
RP11-646I6.5	4	56387625	56388153
RP11-646I6.6	4	56396312	56396871
RP11-738E22.3	4	56960927	56961373
RP11-300M6.1	4	57154577	57156452
RP11-319E12.1	4	57425872	57465986
RP11-319E12.2	4	57491390	57495233
RP11-685F15.1	4	57595940	57605872
RP11-4O3.1	4	57605694	57658800
RP11-4O3.2	4	57720035	57724655
RP11-577G20.1	4	58524515	58536328
RP11-577G20.2	4	58562165	58565122
RP11-506N2.1	4	58780626	58984152
RP11-340A13.2	4	58984282	59046959
RP11-340A13.3	4	59047020	59075256
RP11-622J8.1	4	59152834	59176146
RP11-725D20.1	4	59551142	59630324
RP11-525J21.1	4	59767816	59792114
RP11-593F5.2	4	60750586	60789999
RP11-16N2.1	4	61143656	61153962
RP11-798L4.1	4	61420246	61428221
RP11-257A22.1	4	63128311	63143881
RP11-12K22.1	4	63468701	63494278
RP11-707A18.1	4	64914281	65004500
EPHA5-AS1	4	65669961	65698029
RP11-807H7.2	4	65702202	65705553
RP11-51P8.1	4	65858761	65860204
RP11-25H12.1	4	65998846	66150012
RP11-19C24.1	4	66003281	66016792
RP11-584P21.2	4	67417305	67468251
RP11-468N14.13	4	68901008	68906983
RP11-545L5.1	4	71821305	71823980
RP11-622A1.2	4	73508803	73534128
AC112518.3	4	73710302	73714527
RP11-44F21.5	4	75081702	75084717
RP11-542G1.1	4	75269068	75361182
RP11-542G1.2	4	75341279	75359024
RP11-542G1.3	4	75354076	75362566
RP11-567N4.2	4	75361207	75434449
RP11-567N4.3	4	75401195	75423023
RP11-625I7.1	4	77394491	77494286
LINC01094	4	78645903	78682699
LINC00989	4	79492416	79576460
RP11-234K19.1	4	79596542	79597173
RP11-452C8.1	4	79663761	79696837
PCAT4	4	79827471	79877770
RP11-689K5.3	4	81602797	82044244
RP11-127B20.2	4	82344876	82345540
LINC00575	4	82613113	82621437
RP11-576N17.5	4	83233512	83247213
RP11-767N15.1	4	83668510	83731755
RP11-42A4.1	4	84371393	84380189
RP11-529H2.1	4	87261931	87266822
RP11-710E1.2	4	87460807	87462280
RP11-10L7.1	4	88284942	88331421
RP11-84C13.2	4	89119284	89119871
RP11-354O24.1	4	91887886	91904335
RP11-562F9.2	4	92268767	92277075
RP11-9B6.1	4	92297251	92304178
RP11-363G15.2	4	94117792	94207556
RP11-554D13.1	4	94675245	94702570
BMPR1B-AS1	4	94743800	94757533
RP11-145G20.1	4	96310701	96818864
RP11-431J17.1	4	97120701	97135059
RP11-571L19.8	4	99067256	99068125
FLJ20021	4	101347780	101348883
RP11-499E18.1	4	102418602	102450010
RP11-328K4.1	4	103256159	103453658
RP11-297P16.4	4	103550927	103559127
RP11-703G6.1	4	103961616	104036923
RP11-729M20.1	4	104230380	104411035
AC004063.1	4	104556960	104568877
RP11-556I14.2	4	104653874	104966793
RP11-556I14.1	4	104907357	105120000
AC004069.2	4	105137280	105140619
GIMD1	4	106358398	106367202
RP13-612N21.1	4	106433624	106453448
RP11-713M6.2	4	107258700	107301870
RPL34-AS1	4	108538190	108620460
AC004051.2	4	109303035	109316135
RP11-602N24.3	4	109815047	109815410
RP11-380D23.2	4	110595513	110615458
LINC01438	4	110794403	110797344
RP11-255I10.2	4	111640495	111648808
RP11-269F21.1	4	111802801	111839886
RP11-269F21.2	4	111804418	111809694
RP11-269F21.3	4	111826881	112072698
RP11-73K9.3	4	112272968	112273316
RP11-148B6.2	4	112693047	112706810
RP11-659O3.1	4	115922015	116297160
RP11-55L3.1	4	116489364	116515146
AC107399.2	4	117314597	117360639
AC113617.1	4	117360625	117372852
LINC01378	4	117406166	117691188
AC108056.1	4	117834401	117869948
SNHG8	4	118278709	118279823
RP11-384K6.6	4	118591773	118633729
RP11-384K6.8	4	118664087	118685341
RP11-33B1.4	4	119409333	119410233
RP11-33B1.3	4	119456350	119457277
LINC01365	4	119799089	119804515
RP11-700N1.1	4	119939540	119964293
RP11-96A1.5	4	120035033	120040615
RP11-501E14.1	4	120639090	120650796
RP11-647P12.1	4	121071429	121080476
RP11-63B13.1	4	121870583	121872848
RP11-381N20.2	4	123490268	123522106
RP11-381N20.1	4	123505279	123527525
LINC01091	4	123650267	123930406
AC096732.2	4	123744923	123745673
CTD-2325B11.1	4	124149377	124252044
RP11-93I21.3	4	124499942	124558434
RP11-399F2.2	4	125676718	125752793
RP11-318I4.1	4	126070708	126072004
RP11-810P8.1	4	127043430	127077762
RP11-125O18.1	4	127096891	127470569
RP11-420A23.1	4	128292751	128519394
RP11-130C6.1	4	128552590	128553416
RP11-184M15.1	4	128567972	128570531
RP11-184M15.2	4	128582999	128601407
JADRR	4	128768228	128769948
RP11-419L4.1	4	129299175	129305022
RP11-519M16.1	4	129724171	129771481
RP11-422J15.1	4	129771659	129955368
RP11-521E5.1	4	130376229	130386371
RP11-401I19.1	4	130881027	130885641
RP11-314N14.1	4	131380013	131541397
RP11-614F17.2	4	131773302	131791482
RP11-745L13.2	4	131930031	131975952
RP11-789C2.1	4	132004810	132124031
RP11-1E22.1	4	132027175	132028434
RP11-62N21.1	4	132435802	132447235
LINC01256	4	132591089	132678503
RP11-404I7.2	4	132836772	132981677
RP11-404I7.1	4	132985510	132988677
RP11-9G1.3	4	133075311	133149116
RP11-427M20.1	4	133871246	134010690
RP11-400D2.2	4	134255173	134327473
RP11-400D2.3	4	134423867	134457852
CTD-2012I17.1	4	134759399	134817289
RP11-192C21.2	4	134932889	134934131
RP11-553P9.2	4	135067233	135097658
RP11-553P9.3	4	135112905	135123779
RP11-780O17.1	4	135792384	135805904
LINC00613	4	135866983	135913680
RP11-775H9.3	4	136097797	136099240
RP11-775H9.2	4	136118675	136395471
RP11-775H9.1	4	136125909	136138874
RP11-138I17.1	4	136796722	137212799
RP11-785F11.1	4	137193756	137198367
RP11-714L20.1	4	137545731	137603430
RP13-884E18.2	4	137645265	137655174
RP13-884E18.4	4	137690477	137734977
RP11-793B23.1	4	137807706	137816402
LINC00616	4	138027422	138130709
RP11-733C7.1	4	138277115	138281784
LINC00498	4	138298856	138312658
LINC00499	4	138309711	138424344
LINC00500	4	138425523	138436869
RP11-173E2.2	4	138664725	138665569
RP11-98O2.1	4	138773550	138801639
RP11-577B7.1	4	138923930	138924232
RP11-308D13.3	4	139618136	139623232
RP11-102N12.3	4	140756528	140757921
RP11-586L23.1	4	141240739	141278789
RP11-362F19.1	4	141319450	141332618
RP11-362F19.3	4	141430831	141431284
RP11-208N20.1	4	141569931	141576077
RP11-223C24.2	4	142514446	142518983
RP11-223C24.1	4	142566019	142660950
RP11-364L4.3	4	143286293	143329858
RP11-673E1.1	4	143912331	143982454
RP11-361D14.2	4	144505900	144509001
RP13-539F13.3	4	144851572	144874787
RP11-142A22.4	4	145335263	145340421
RP11-557J10.5	4	145599109	145600552
RP11-203B7.2	4	146052604	146056762
RP11-203B7.1	4	146077846	146108157
LINC01095	4	146109455	146121913
RP11-6L6.2	4	146224557	146229056
RP11-292D4.1	4	146957438	146975457
RP11-292D4.3	4	147005492	147009145
RP11-752L20.5	4	147567606	147594587
RP11-503L19.1	4	148693032	148694323
RP11-563M4.1	4	149027445	149062522
RP11-342A1.1	4	149147802	149149780
RP11-24I21.1	4	149154295	149278123
RP11-526A4.1	4	149352017	149896233
RP11-707F2.1	4	149666057	149711149
RP11-423J7.1	4	149956208	149958572
RP11-731D1.4	4	151333775	151353224
RP11-610P16.1	4	151407551	151408835
RP11-424M21.1	4	151799500	151801348
RP11-503L23.1	4	151887543	151891263
RP11-73G16.3	4	151904932	151928648
RP11-73G16.2	4	151919468	151943933
RP11-18H21.1	4	152100754	152104720
RP11-18H21.2	4	152146385	152178573
RP11-18H21.3	4	152207421	152225870
RP11-461L13.4	4	152308283	152309983
RP11-461L13.5	4	152317902	152318364
RP11-461L13.3	4	152320544	152321044
DKFZP434I0714	4	152536264	152539263
RP11-285C1.2	4	153034211	153091165
RP11-27G13.1	4	155286162	155287136
RP13-487K5.1	4	155515727	155517459
RP11-171N4.1	4	156585979	156590039
RP11-171N4.2	4	156634494	156642454
RP11-171N4.4	4	156686664	156692636
RP11-364P22.1	4	157572490	157576154
RP11-364P22.2	4	157637687	157667044
RP11-138A23.2	4	159398533	159401246
RP11-6C14.1	4	159666503	159777784
RP11-502M1.2	4	160539254	160586817
AC005150.1	4	162740668	162742048
RP11-218F10.3	4	163529771	163530697
LINC01207	4	164754064	164803795
RP11-366M4.13	4	165007086	165007959
LINC01179	4	165684639	165762778
RP11-217C7.1	4	166388701	166526119
RP11-436A7.1	4	167306910	167308789
RP11-205M3.3	4	169917761	169975902
RP11-789C1.1	4	170273919	170283079
RP11-789C1.2	4	170343089	170372311
RP11-322J23.1	4	170742469	170743718
RP11-344G13.1	4	171040602	171059163
RP11-717H13.1	4	171289475	171298267
RP11-97E7.1	4	171553000	171564267
RP11-97E7.2	4	171602683	171638763
RP11-489G11.3	4	173467833	173470041
RP11-475B2.1	4	173593672	173594556
RP11-161D15.2	4	173877471	173913252
RP11-161D15.1	4	173897252	173929525
RP11-161D15.3	4	173924207	173990861
RP11-148L24.1	4	174094660	174220398
RP11-248N22.1	4	174135055	174154637
RP11-248N22.2	4	174164441	174168913
RP11-51M24.1	4	174354854	174376445
RP11-440I14.2	4	174523701	174540344
RP11-440I14.3	4	174536640	174540784
RP11-287F9.2	4	175346358	175403110
RP11-598D14.1	4	175458289	175466697
RP11-624A4.1	4	176866614	176875457
RP11-765K14.1	4	176875702	176880605
RP11-487E13.1	4	177242539	177248773
RP11-140M13.1	4	177686673	177691068
LINC01098	4	177728757	177990750
LINC01099	4	177729638	177907936
RP11-404J23.1	4	179389134	179465305
RP11-460H9.1	4	180731164	180759038
LINC00290	4	181064089	181159149
RP11-665C14.2	4	181261161	181265029
RP11-540E16.2	4	181820019	181829973
RP11-188P17.2	4	182881777	182882203
RP11-335L23.4	4	183075480	183076033
RP11-335L23.5	4	183094423	183095056
WWC2-AS2	4	183097017	183099199
RP11-367N14.3	4	183516894	183517527
RP11-290F5.2	4	184340756	184353977
RP11-290F5.1	4	184365183	184382306
RP11-326I11.3	4	184474802	184477304
RP11-326I11.4	4	184506460	184537554
RP11-242J7.1	4	184584093	184625030
RP11-701P16.5	4	184844585	184855751
LINC01093	4	184893871	184899454
RP11-386B13.4	4	184988997	185005186
RP11-386B13.3	4	185051896	185107248
RP11-45I20.1	4	185918140	185919460
RP11-11N5.1	4	186890969	186892366
RP11-11N5.3	4	186892552	186892983
RP11-217E13.1	4	186979490	187021973
RP11-696F12.1	4	187060099	187060930
RP11-308K2.1	4	187201986	187209346
RP11-138B4.1	4	187304083	187309682
RP11-91J3.2	4	187370648	187371921
RP11-91J3.3	4	187413564	187415697
RP11-237D3.1	4	187516153	187517208
RP11-565A3.2	4	187532878	187672641
RP11-565A3.1	4	187613765	187660369
RP11-366H4.1	4	188160065	188161139
LINC01060	4	188400736	188681051
RP11-756P10.4	4	188757679	188778979
RP11-756P10.5	4	188776657	188785511
RP11-756P10.2	4	188777679	188796633
RP11-818C3.1	4	188990715	189002075
RP11-706F1.1	4	189193100	189204877
RP11-706F1.2	4	189288677	189291336
LINC01262	4	189659605	189661486
RP11-462G22.2	4	189703881	189704490
AF146191.4	4	189780336	189940271
RP11-463J17.2	4	189809120	189810758
RP11-463J17.1	4	189881515	189884868
DBET	4	190064502	190067864
CTD-2231H16.1	5	92151	139863
RP11-661C8.2	5	946315	956520
RP11-661C8.3	5	979365	981300
RP11-43F13.4	5	1005039	1006623
LINC01511	5	1363582	1380067
CTD-2245E15.3	5	1544107	1551710
CTD-2012J19.3	5	1594626	1611467
CTD-2587M23.1	5	1725149	1728172
CTD-2194D22.2	5	1855970	1856568
RP11-259O2.1	5	1933863	1959176
RP11-259O2.2	5	1963609	1967154
RP11-259O2.3	5	1968094	1969013
LSINCT5	5	2712591	2715237
RP11-129I19.2	5	2736662	2737759
RP11-468D11.1	5	2831021	2835139
RP11-35O7.1	5	2965006	2967628
LINC01377	5	3177835	3181232
LINC01019	5	3417152	3536094
RP11-121L11.3	5	3452816	3461660
LINC01017	5	3496229	3504004
CTD-2287N17.1	5	4012708	4013649
CTD-2383I20.1	5	4033713	4041764
CTD-2008N3.1	5	4135682	4143648
RP11-445O3.3	5	4436850	4440259
RP11-445O3.2	5	4451930	4866221
RP11-445O3.1	5	4512262	4516776
CTD-2318H23.1	5	4640731	4648254
CTD-2161F6.3	5	4773481	4774865
CTD-2161F6.2	5	4775476	4805769
CTD-2161F6.1	5	4831699	4849800
CTD-2046I8.1	5	4866521	4874759
CTD-2247C11.2	5	4967764	4970425
CTD-2247C11.1	5	4974690	5034267
LINC01020	5	5034359	5070004
CTD-2247C11.4	5	5046796	5049497
CTD-2247C11.5	5	5069192	5078311
CTC-471C19.1	5	6019029	6022283
CTC-471C19.2	5	6030035	6030841
FLJ33360	5	6310441	6339884
LINC01018	5	6582136	6588499
CTD-2044J15.1	5	6686325	6707711
RP11-332J15.3	5	6765891	6771953
RP11-332J15.4	5	6779458	6779998
RP11-332J15.1	5	6795880	6826728
RP11-332J15.2	5	6868559	6886787
RP11-122F24.1	5	6933670	7190812
RP11-404K5.4	5	7326064	7326609
CTD-2296D1.1	5	7344579	7345921
CTD-2296D1.2	5	7346986	7347977
CTD-2296D1.3	5	7362979	7364531
CTD-2296D1.5	5	7373117	7379790
CTD-2072I24.1	5	7924292	7925398
RP11-480D4.1	5	8333481	8457558
RP11-480D4.2	5	8387638	8457564
RP11-480D4.6	5	8444949	8445535
MIR4458HG	5	8450743	8463095
RP11-417J1.1	5	8525179	8528679
RP11-315A16.1	5	8785042	8785468
RP11-143A12.3	5	8839732	8881525
CTD-2201E9.1	5	9511333	9518086
SNHG18	5	9546200	9550609
CTD-2143L24.1	5	9641305	9903826
RP11-447B18.1	5	9854377	9889937
CTD-2199O4.1	5	10137138	10138365
CTD-2199O4.3	5	10195121	10197628
CTD-2199O4.7	5	10195187	10197622
CTD-2199O4.6	5	10203600	10204040
CTD-2256P15.5	5	10269489	10269918
RP11-1C1.6	5	10493291	10494094
RP11-1C1.4	5	10493527	10502728
RP11-1C1.5	5	10504996	10522084
CTD-2154B17.1	5	10775058	10777062
RP11-308B16.2	5	12553890	12574637
LINC01194	5	12574857	12804363
RP11-419C19.2	5	12914068	13032886
CTC-305H11.1	5	13175846	13179572
CTB-40H15.4	5	14872332	14872713
RP1-251I12.1	5	15112377	15117007
RP1-137K24.1	5	15192139	15266541
RP1-167G20.1	5	16373361	16440081
CTC-461F20.1	5	16617225	16621276
CTD-2228A4.1	5	17107360	17107789
CTD-2139B15.2	5	17353910	17354899
CTD-2139B15.5	5	17369225	17375577
CTD-2139B15.4	5	17378906	17387310
RP11-321E2.3	5	17404019	17441694
RP11-321E2.4	5	17444010	17483946
RP11-454P21.1	5	17684584	17955857
CTD-2023M8.1	5	18704433	18746173
RP11-124N3.3	5	18965861	19142346
RP11-124N3.2	5	19035197	19038799
RP11-420O16.1	5	20305565	20331456
RP11-774D14.1	5	20611840	20937691
CTD-2333M24.1	5	20612625	20614765
RP11-374A4.1	5	21323873	21341375
RP11-360I2.1	5	21569755	21570045
CTD-2234B20.1	5	23013048	23014527
C5orf17	5	23951348	24178263
CTD-2074D8.1	5	24352309	24353443
RP11-730N24.1	5	24835280	24840583
RP11-730N24.2	5	24881943	24885461
RP11-549K20.1	5	25126305	25190656
RP11-184E9.1	5	25190682	25306172
RP11-192H6.2	5	25218973	25298612
RP11-184E9.2	5	25319834	25321346
CTD-2306M5.1	5	25404733	25445925
RP11-351N6.1	5	26382519	26399819
CTD-2533K21.4	5	26711551	26749997
CTD-3007L5.1	5	27412613	27436411
LINC01021	5	27472292	27496401
CTD-2061E9.1	5	28286389	28287665
CTD-2134P3.1	5	28782678	28809249
CTD-2118P12.1	5	29143503	29217115
CTD-2010I22.2	5	29380296	29395981
RP11-5N11.4	5	31741833	31742327
RP11-5N11.5	5	31743988	31744451
RP11-5N11.6	5	31747644	31748078
CTD-2186M15.3	5	32174471	32175272
CTD-2004A9.1	5	32646564	32651976
CTD-2066L21.3	5	32925639	33297910
CTD-2218G20.2	5	32947443	32962467
CTD-2066L21.1	5	33008994	33025724
CTD-2066L21.2	5	33011322	33017607
RP11-113I22.1	5	33229735	33255553
CTD-2233C11.2	5	33519616	33522230
RP11-1250I15.3	5	34158121	34158767
CTD-2024P10.2	5	34651457	34651888
CTD-2653M23.3	5	36861736	36862217
GDNF-AS1	5	37840438	37875799
CTD-2194L12.2	5	37899363	37920869
CTD-2194L12.3	5	37939365	37947955
CTD-2130F23.2	5	37948491	37951055
CTD-2130F23.1	5	37953402	37966964
CTD-2116N24.1	5	38025697	38183932
CTD-2207A17.1	5	38148480	38153715
CTD-2196P11.2	5	38682070	38685126
LINC01265	5	38710367	38720273
OSMR-AS1	5	38736055	38845829
CTD-2078B5.2	5	39520431	39524708
LINC00603	5	40052291	40053324
LINC00604	5	40260657	40267657
RP11-112L7.1	5	42188266	42191523
CTD-2201E18.5	5	43006733	43007543
CTD-2035E11.4	5	43033716	43034635
CTD-2035E11.5	5	43061395	43062441
RP11-8L21.1	5	43874367	43886628
RP11-473L15.3	5	44495618	44510282
RP11-503D12.1	5	44698431	44700808
RP11-53O19.2	5	44752949	44765744
RP11-53O19.3	5	44826076	44828592
RP11-357F12.1	5	45035199	45098647
CTD-2013M15.1	5	45890216	45895970
RP11-269M20.3	5	50662859	50663266
RP11-317O24.1	5	50858760	50860020
RP11-317O24.2	5	50929484	50934521
CTD-2089N3.1	5	50965687	50967008
CTD-2089N3.2	5	50969217	50970167
CTD-2089N3.3	5	50969660	50970187
CTD-2335O3.3	5	51451158	51462089
CTD-2203A3.1	5	52008031	52080987
CTD-2081C10.1	5	53776644	53819686
CTD-2081C10.7	5	53880293	53881051
LINC01033	5	54320944	54415125
RP11-45H22.3	5	54956235	54957846
CTD-2313F11.2	5	55054428	55055140
CTD-2313F11.3	5	55063179	55066230
CTD-2227I18.1	5	56059050	56067372
RP11-155L15.1	5	56313905	56321397
CTC-236F12.4	5	56457795	56481946
AC008940.1	5	56770799	56772303
CTD-2023N9.2	5	57574027	57614341
CTD-2023N9.3	5	57614389	57617431
RP11-772C9.1	5	57751192	57751717
RP11-478P10.1	5	57890327	57899162
CTD-2037L6.2	5	58108082	58122341
CTD-2117L12.1	5	58541567	58558243
PART1	5	60487713	60547657
RP11-231G3.1	5	60866457	60866935
CTC-436P18.3	5	61201309	61264929
CTD-2170G1.2	5	61732774	61735669
CTD-2244C20.2	5	61878109	61886129
RP11-307L14.1	5	65020038	65020551
RP11-307L14.2	5	65020614	65020989
CTD-2116N20.1	5	65486444	65487048
CTD-2033C11.1	5	65924629	65925135
CTD-2016O11.1	5	66206212	66209447
RP11-305P14.1	5	66298468	66322944
RP11-5P22.3	5	66507544	66511604
CTD-2187J20.1	5	67268022	67270182
RP11-434D9.1	5	67379378	67805238
RP11-83M16.5	5	67632266	67646789
RP11-83M16.6	5	67699429	67902600
RP11-434D9.2	5	67800740	67890096
RP11-404L6.2	5	68189876	68198407
CTD-2582M21.1	5	68374765	68375292
CTC-537E7.3	5	68430427	68434481
CTC-537E7.1	5	68523878	68530007
CTC-537E7.2	5	68531690	68533530
CTC-340D7.1	5	68832585	68962158
RP11-141O11.1	5	68963246	68967845
RP11-141O11.2	5	68970692	69030165
CTC-498J12.1	5	69038518	69043821
RP11-497H16.9	5	70449636	70450353
RP11-136K7.2	5	71351855	71446342
RP11-136K7.3	5	71372676	71374898
RP11-136K7.1	5	71445616	71446569
CTC-347C20.2	5	72574120	72660669
CTC-347C20.1	5	72687112	72762727
CTD-2376I4.1	5	72953635	72954274
CTD-2376I4.2	5	72955206	72955699
RP11-60A8.1	5	73213947	73294934
RP11-60A8.2	5	73337906	73338533
FOXD1-AS1	5	73446357	73446984
LINC01385	5	73451498	73453395
RP11-79P5.9	5	73497550	73498293
RP11-428C6.2	5	73952940	73954014
CTD-2292M14.1	5	74084068	74103216
LINC01335	5	74306410	74308325
CTD-2275D24.1	5	74321631	74340152
LINC01333	5	74322486	74328297
LINC01332	5	74327995	74334766
LINC01331	5	74369376	74536976
CTD-2503O16.4	5	74917726	75023928
LINC01336	5	75047719	75052843
CTD-2235C13.3	5	75363760	75364242
CTC-366B18.4	5	75608817	75609983
CTC-235G5.3	5	76081946	76084186
RP11-107N7.1	5	77942757	77946438
SCAMP1-AS1	5	78342365	78360507
LINC01337	5	80608623	80622524
CTD-2249K22.1	5	81851601	81852201
CTD-2015A6.1	5	82545862	82546310
CTD-2015A6.2	5	82586776	82587411
CTD-2218K11.2	5	82765404	82766333
LINC01338	5	82850864	82859836
RP11-78C3.1	5	82919376	82921119
CTD-2227C6.3	5	82940458	82940983
CTD-2227C6.2	5	83012285	83013109
RP11-343L5.2	5	83049376	83050964
CTC-384G19.1	5	85112342	85112756
RP11-1072N2.3	5	85212958	85213614
CTD-2331D11.2	5	85420028	85420451
CTD-2331D11.3	5	85429702	85430184
CTD-2331D11.4	5	85446974	85447758
CTC-480C2.1	5	85663232	85664684
CTD-2036A18.2	5	85848502	85849199
CTC-261N6.3	5	86335024	86335808
CTC-261N6.1	5	86353803	86368854
CTC-261N6.2	5	86380660	86381426
CTC-493L21.1	5	86746818	86749772
CTC-493L21.2	5	86797685	86800280
RP11-72L22.1	5	86967321	87137712
CTC-242N15.1	5	87205408	87240145
CTD-2316B1.1	5	87662042	87679147
CTD-2316B1.2	5	87713135	87733269
CTC-498M16.2	5	88408982	88439090
CTC-498M16.4	5	88433892	88498697
LINC00461	5	88507546	88691041
CTC-467M3.3	5	88692645	88693972
CTD-2232E5.2	5	89466537	89470039
RP11-116A1.1	5	89581209	89677701
AC113167.1	5	89900664	89904908
AC113167.2	5	89944910	89947573
RP11-61G23.2	5	90353037	90356609
RP11-414H23.2	5	91223419	91223967
RP11-414H23.3	5	91226475	91227071
RP11-213H15.1	5	91280097	91281142
LUCAT1	5	91303029	91314402
RP11-213H15.4	5	91313057	91314402
ARRDC3-AS1	5	91380349	91439085
RP11-348J24.2	5	92082597	92479426
RP11-348J24.1	5	92329230	92332584
RP11-133F8.2	5	92410256	92660863
CTC-529L17.1	5	92654848	92679141
CTC-529L17.2	5	92675956	92688254
CTC-458G6.4	5	92826255	92844004
CTC-458G6.2	5	92907180	92939591
CTD-2091N23.1	5	93019663	93068669
RP11-185E12.2	5	93741640	93743500
AC008592.4	5	95835943	95852721
AC008592.8	5	95849309	95849855
LINC01554	5	95852232	95860133
AC008592.7	5	95964999	95986311
RP11-254I22.1	5	96050115	96215519
RP11-254I22.3	5	96213346	96215075
RP11-254I22.2	5	96247776	96278751
CTD-2215E18.1	5	97089075	97437217
CTD-2215E18.3	5	97223371	97227957
LINC01340	5	97504696	97671046
RP11-455B3.1	5	97881420	97922695
AC008834.1	5	98086260	98161193
CTD-2007H13.3	5	98929171	98995013
CTD-2151A2.1	5	99549432	99577957
RP11-346J10.1	5	100401441	100408899
CTD-2001C12.1	5	100449754	100535262
CTC-293G12.1	5	100654112	100657970
CTD-2333K2.1	5	102144077	102146572
LINC00492	5	102581368	102617589
CTD-2340E1.2	5	102605635	102606197
LINC00491	5	102609156	102671559
CTD-2154H6.1	5	103408941	103412511
CTD-2193G5.1	5	103529676	103541985
RP11-138J23.1	5	104079911	104105403
RP11-6N13.1	5	104383298	105392970
